SlideNumber,PhotoNumber,CircleNumber,X,Y
1,1,2,0.5796734470691164,0.6127496354622339
1,1,3,0.6639023403324584,0.43210440361621466
2,2,3,0.6875074365704287,0.460368620589093
2,2,4,0.28704669728783905,0.8136711869349664
2,2,5,0.4696878827646544,0.5519200933216681
3,3,2,0.2016380139982502,0.6376344415281423
3,3,5,0.3584752843394576,0.3872503645377661
3,3,7,0.7248347550306212,0.6772658209390493
4,4,6,0.013440944881889764,0.5572452610090405
4,4,8,0.7113420822397201,0.6879161563137941
5,5,4,0.4696878827646544,0.920737241178186
6,6,4,0.589272419072616,0.645110090405366
6,6,8,0.0,0.7094214056576261
8,8,10,0.174247375328084,0.7486942257217848
8,8,9,0.5112903543307087,0.7382487605715952
8,8,12,0.4853560804899388,0.5339477981918926
8,8,13,0.15166666666666667,0.920737241178186
8,8,14,0.4853559711286089,0.38678944298629336
9,9,11,0.12037915573053368,0.552790609507145
9,9,10,0.4501803368328959,0.513159230096238
9,9,15,0.24910400262467192,0.20788524351122775
10,10,9,0.8053252405949256,0.4677930883639545
10,10,11,0.010010279965004374,0.6559139690871975
11,11,9,0.22744510061242346,0.4498718285214348
11,11,13,0.8053252405949256,0.4677930883639545
12,12,15,0.5624681758530183,0.2926778944298629
12,12,19,0.9024067147856518,0.4485406824146982
13,13,9,0.34111646981627297,0.7644648585593468
13,13,19,0.7747569991251093,0.19846398366870807
14,14,18,0.8730672572178477,0.4770097696121318
14,14,8,0.2186894138232721,0.7922172645086031
14,14,16,0.7028676727909011,0.025192038495188102
15,15,9,0.39825929571303587,0.7660011665208516
18,18,17,0.5,0.4266256926217556
19,19,20,0.007936679790026246,0.8172042869641295
19,19,18,0.5226831802274715,0.4872503645377661
