SlideNumber,PhotoNumber,CircleNumber,X,Y
1,1,16,0.17352985564304463,0.8259122193059201
1,1,2,0.847709208223972,0.22344313210848643
1,1,3,0.9083333333333333,0.4905758238553514
1,1,18,0.5749186351706037,0.48456780402449695
2,2,4,0.42586865704286964,0.9077502187226597
2,2,23,0.5055795056867891,0.6067766112569262
2,2,11,0.8361352799650044,0.5962827354913969
3,3,21,0.0,0.6510958005249344
3,3,5,0.9009500218722659,0.7425788859725868
3,3,11,0.8472463910761154,0.42073724117818606
3,3,27,0.7866222659667541,0.6609584426946632
4,4,5,0.3254870953630796,0.7320851560221638
4,4,28,0.525511154855643,0.6689970836978711
4,4,8,0.4264371172353456,0.5393674540682415
5,5,6,0.8629870953630796,0.7314679206765821
5,5,7,0.6352093175853019,0.6522051618547682
5,5,28,0.44909820647419074,0.5509705453484981
6,6,8,0.5861352799650044,0.35603412073490814
6,6,26,0.9254870953630796,0.5357888597258676
6,6,25,0.5170484470691163,0.5461574803149606
6,6,28,0.8509501312335958,0.41158967629046367
7,7,8,0.15132545931758531,0.5862747156605425
7,7,29,0.5466975065616798,0.790220180810732
7,7,11,0.9435184820647419,0.039028871391076116
7,7,28,0.26706627296587926,0.6776328375619715
8,8,26,0.6893758748906387,0.7468708078156897
8,8,9,0.42025492125984254,0.4808642461358997
8,8,25,0.255579615048119,0.8483557888597258
9,9,10,0.23613527996500439,0.820356809565471
9,9,11,0.43289457567804024,0.4506038203557889
12,12,9,0.2680797244094488,0.6117147856517935
12,12,13,0.5282649825021872,0.20862846310877806
12,12,14,0.45372790901137355,0.35554184893554974
12,12,15,0.6264130577427821,0.7925790317876932
16,16,17,0.32815944881889764,0.6901097987751531
17,17,18,0.6897334864391951,0.566035724701079
18,18,19,0.8136894138232721,0.8493689122193059
19,19,20,0.21936318897637797,0.5857888597258676
19,19,25,0.9221409667541557,0.5722086614173229
21,21,22,0.4184372265966754,0.5370233304170312
22,22,16,0.07908541119860017,0.29875182268883055
23,23,26,0.1291907261592301,0.5142799650043745
23,23,24,0.004190726159230097,0.6562551764362788
23,23,6,0.8176406386701662,0.5935427238261884
24,24,19,0.029214785651793525,0.46501370662000585
25,25,24,0.7003817804024497,0.8651816856226305
25,25,19,0.27088145231846017,0.42073724117818606
26,26,35,0.8403258967629046,0.45060352872557596
27,27,26,0.3873021653543307,0.8148696412948382
27,27,24,0.7507281277340332,0.553758530183727
28,28,29,0.9393758748906387,0.7587372411781861
29,29,30,0.2622804024496938,0.09389632545931759
29,29,32,0.25295231846019245,0.24494502770487023
29,29,33,0.7497802930883639,0.5704396325459318
29,29,34,0.4743173665791776,0.49117687372411784
30,30,31,0.11468503937007873,0.466030475357247
30,30,33,0.7313517060367454,0.4740740740740741
31,31,18,0.5646187664041995,0.8187403032954214
32,32,31,0.4270951443569554,0.5685876348789735
33,33,32,0.9130528215223097,0.3474407990667833
33,33,31,0.7613544400699912,0.43587168270632837
35,35,9,0.092832239720035,0.7042704870224555
