SlideNumber,PhotoNumber,CircleNumber,X,Y
1,1,3,0.724558562992126,0.1322580927384077
1,1,2,0.12496169619422572,0.5
1,1,4,0.32649762139107613,0.6745007290755323
2,2,5,0.4288019192913386,0.69820836978711
2,2,8,0.3226382874015748,0.41628317293671624
2,2,3,0.05345620078740158,0.34326742490522016
3,3,10,0.14460449475065618,0.7756277340332458
3,3,6,0.5172811679790026,0.1034310294546515
3,3,9,0.6724653871391076,0.7700975503062117
3,3,7,0.47484653871391075,0.4494626713327501
4,4,5,0.3593317749343832,0.920737241178186
5,5,4,0.803456282808399,0.45489034703995335
10,10,11,0.41394004265091866,0.7547365121026538
11,11,12,0.7111751148293963,0.5710191017789443
11,11,10,0.2206227034120735,0.5516641878098572
11,11,13,0.4488479330708661,0.5415261009040536
