SlideNumber,PhotoNumber,CircleNumber,X,Y
1,1,3,0.935944772528434,0.630261154855643
1,1,2,0.46387664041994753,0.7495644502770487
1,1,4,0.7062471566054244,0.42073724117818606
2,2,4,0.8214034339457568,0.6155145815106445
2,2,5,0.09488068678915136,0.3589861475648877
2,2,8,0.4230681321084864,0.6551459609215514
3,3,8,0.3939590988626422,0.6434715660542433
3,3,4,0.9390488845144357,0.5783409157188685
3,3,11,0.3290589457567804,0.5783409157188685
4,4,2,0.3361242344706912,0.429339457567804
4,4,9,0.6237844488188976,0.6554531933508312
4,4,7,0.3967483595800525,0.5953404782735492
5,5,8,0.6474152449693789,0.48248848060659083
5,5,7,0.9137747156605425,0.4032257217847769
5,5,11,0.32582425634295714,0.41490011665208515
6,6,8,0.3474152449693788,0.8056835812190143
6,6,7,0.7143123359580053,0.8782898804316127
7,7,8,0.4944198381452318,0.7503839311752698
8,8,13,0.19421456692913386,0.6892473024205308
8,8,6,0.7256277340332459,0.6948795567220764
9,9,10,0.7633389107611549,0.6075271216097988
9,9,18,0.22055850831146107,0.6494629629629629
10,10,5,0.28184897200349956,0.5718893263342082
10,10,9,0.3901231408573928,0.5718893263342082
11,11,13,0.15558169291338583,0.49999985418489357
11,11,5,0.5275479002624672,0.22237547389909595
11,11,12,0.9393758748906387,0.865576990376203
12,12,11,0.5380701006124234,0.8084483814523185
12,12,14,0.2640051399825022,0.39093700787401575
13,13,8,0.7118797025371828,0.5882744240303296
13,13,15,0.9426017060367454,0.8079698162729658
14,14,15,0.9393758748906387,0.8196620005832604
14,14,13,0.7570927384076991,0.5912442403032955
15,15,16,0.11003619860017498,0.5307217847769029
16,16,17,0.6725556649168853,0.8394976669582969
17,17,16,0.8787517497812773,0.5
18,18,19,0.11515726159230097,0.6311827063283756
19,19,20,0.4884291338582677,0.6038401866433363
19,19,18,0.09303751093613298,0.4874039078448527
