SlideNumber,PhotoNumber,CircleNumber,X,Y
1,1,2,0.6421409667541558,0.8436256926217556
1,1,5,0.4918077427821522,0.35770647419072615
1,1,3,0.009216535433070865,0.5921154855643045
1,1,11,0.30064031058617674,0.41187955672207643
2,2,5,0.9393758748906387,0.31090653251676875
2,2,4,0.4483871391076115,0.9163524351122776
2,2,3,0.0,0.3195087489063867
2,2,11,0.3877630139982502,0.369380723242928
3,3,4,0.7472868547681539,0.54463371245261
3,3,6,0.29667224409448817,0.920737241178186
4,4,6,0.05928171478565179,0.6629133858267716
4,4,7,0.7455204505686789,0.6844187809857101
4,4,8,0.3004358048993876,0.6730516185476816
5,5,7,0.30212543744531933,0.7416283172936716
5,5,9,0.4141838363954506,0.5844342373869933
5,5,10,0.9393758748906387,0.8445825313502479
6,6,8,0.5912192694663168,0.8739733158355205
6,6,4,0.8765495406824148,0.8565641586468358
7,7,9,0.336124343832021,0.8565641586468358
8,8,6,0.24966666666666668,0.6009215514727326
8,8,14,0.5,0.7176650627004958
9,9,8,0.3079368985126859,0.7155501603966171
9,9,15,0.5923455818022747,0.7310135608048994
10,10,5,0.236,0.5164720034995626
11,11,9,0.8391704943132109,0.219083552055993
11,11,8,0.15491557305336834,0.6959906678331875
11,11,12,0.31536100174978127,0.32128521434820645
12,12,4,0.8027650918635171,0.38068095654709827
12,12,13,0.2668202099737533,0.7997284922717993
12,12,21,0.11723009623797026,0.6628108778069408
13,13,21,0.004147419072615923,0.6835994459025955
14,14,8,0.0,0.5453146689997084
14,14,17,0.27608858267716535,0.4570400991542724
14,14,16,0.6734255249343832,0.5363028579760863
15,15,9,0.0,0.5823193350831146
16,16,14,0.3581412948381452,0.49139763779527557
17,17,14,0.16973884514435694,0.8660115193934091
17,17,19,0.5482852143482064,0.4764569845435987
17,17,20,0.8202514216972878,0.46488495188101486
19,19,17,0.48238659230096237,0.9139784193642462
19,19,20,0.677778324584427,0.008868766404199474
20,20,19,0.4346648075240595,0.7953511227763196
21,21,23,0.7359047462817148,0.920737241178186
21,21,13,0.271325678040245,0.607718868474774
21,21,22,0.9320425415573054,0.7751150481189851
22,22,21,0.5722474846894138,0.8650500145815107
23,23,24,0.6634917979002625,0.5124807524059493
24,24,25,0.8386069553805774,0.7017424905220181
