SlideNumber,PhotoNumber,CircleNumber,X,Y
1,1,3,0.2236363735783027,0.3894008457276174
1,1,4,0.715739501312336,0.6494111986001749
1,1,2,0.49053346456692914,0.0
2,2,9,0.5458274278215223,0.751701516477107
2,2,4,0.6620333552055992,0.5205328083989501
2,2,3,0.0,0.33041455234762324
3,3,5,0.7874687226596675,0.20015354330708662
3,3,7,0.7917828083989501,0.5775217264508603
3,3,12,0.37929582239720033,0.5440347039953339
4,4,6,0.7446116579177603,0.8649769612131817
4,4,9,0.32848261154855646,0.8649769612131817
4,4,11,0.6506023622047244,0.8582179935841353
5,5,4,0.7990784120734908,0.5452289297171187
6,6,11,0.6404641294838145,0.8569892096821231
9,9,10,0.4165009842519685,0.7648234179060951
9,9,7,0.5165777559055118,0.016538786818314378
10,10,9,0.910709208223972,0.920737241178186
10,10,16,0.17025153105861768,0.7531490230387868
12,12,15,0.16344160104986877,0.7648232720909887
12,12,13,0.7483110236220473,0.5394265091863517
12,12,14,0.7691251093613298,0.6501278798483523
13,13,14,0.0,0.5147464275298921
14,14,13,0.9146704943132109,0.6358935549722952
15,15,13,0.8523758748906387,0.46927806940799066
16,16,17,0.9213758748906387,0.6523811606882473
16,16,10,0.018,0.920737241178186
17,17,20,0.49262674978127735,0.7767372411781861
17,17,18,0.9037635608048994,0.4218802857976086
18,18,19,0.9333575021872266,0.5743327500729075
19,19,18,0.9083975284339457,0.8900737824438612
20,20,21,0.855044072615923,0.5080606590842811
20,20,22,0.9393758748906387,0.8598218139399242
21,21,22,0.9393758748906387,0.865576990376203
22,22,21,0.006451771653543307,0.8809431321084864
